№ п/п,Торговое название и синоним,Международное название,Лекарственная форма выпуска,Страна-производитель,Фирма производитель,Фармакотерапевтическая группа,Код АТХ,№ Регистрационного удостоверения,Дата регистрации и перерегис-трации,Дата изменения к регистрационному удостоверению,Условия отпуска,,
85,"АМИТРИПТИЛИНА ГИДРОХЛОРИД-ОЗ
(Amitriptilina gidroxlorid-OZ)",amitriptyline,Раствор для инъекций 10 мг/мл 2 мл N10 (ампулы),Украина,"Укрфармэкспорт, ООО, Украина произведено: Харьковское фармацевтическое предприятие Здоровье народу, ООО",Антидепрессант,N06AA09,DV/X 03213/07/17,07.07.17 16.08.22,введены изменения: 18.10.24,по рецепту,,
86,"АМИТРИПТИЛЛИН
(Amitriptilinum)",amitriptyline,"Таблетки, покрытые оболочкой 25 мг N50 (5x10) (блистеры)",Украина,"Технолог, ЧАО",Антидепрессант,N06AA09,DV/X 00856/09/15,28.09.15 20.10.20,,по рецепту,,
87,"АМИТРИПТИЛЛИН
(Amitriptilinum)",amitriptyline,"Таблетки, покрытые оболочкой 25 мг N50 (5х10), N10 (блистеры), N25 (банки)",Украина,"Укрфармэкспорт, ООО",Антидепрессант,N06AA09,DV/X 03636/11/17,15.11.17 30.11.22,введены изменения: 12.03.24,по рецепту,,
88,"АМИЦИЛ®
(Amitsil)",amikacin,"Лиофилизат для раствора для инъекций 1,0 г N40 (флаконы)",Украина,"Киевмедпрепарат, ПАО",Антибиотик (гр.аминогликозидов),J01GB06,DV/X 01480/03/16,04.03.16 12.02.21,введены изменения: 29.11.24,по рецепту,,
89,"АМЛОДИПИН
(Amlodipin)",amlodipine,"Таблетки 5 мг, 10 мг N30 (3х10) (упаковки контурные ячейковые)",Беларусь,"Борисовский завод медицинских препаратов, ОАО",Антигипертензивное средство (блокатор кальциевых каналов),C08CA01,DV/X 09609/02/22,14/02/22,,по рецепту,,
90,"АМЛОДИПИН
(Amlodipin)",amlodipine,"Таблетки 5 мг, 10 мг N90 (10х9) (блистеры)",Украина,"Технолог, ЧАО",Антигипертензивное средство (блокатор кальциевых каналов),C08CA01,DV/X 08878/04/21,23/04/21,,по рецепту,,
91,"Амлонон®
(Amlonon)",amlodipine,Таблетки 5 мг №30 (3x10) (блистеры),Украина,"Фармак, АО",Сердечно-сосудистая система. Блокаторы кальциевых каналов. Производные дигидропиридина. Амлодипин.,С08СА01,DV/X 06421/06/19,14.06.19 13.08.25,,по рецепту,,
92,"Амлонон®
(Amlonon)",amlodipine,Таблетки 10 мг №30 (3х10) (блистеры),Украина,"Фармак, АО",Селективные антагонисты кальция с преимущественным действием на сосуды. Производные дигидропиридина.,С08С А01,DV/X 06422/06/19,14.06.19 15.10.25,,по рецепту,,
93,"Амлорус
(Amlorus)",amlodipine,"Таблетки 5 мг, 10 мг №30 (3x10) (упаковки контурные ячейковые)",Россия,"Синтез, ПАО",Блокаторы кальциевых каналов. Селективные блокаторы кальциевых каналов с преимущественным действием на сосуды. Производные дигидропиридина.,С08СА01,DV/X 00023/01/15,30.01.15 27.08.25,,по рецепту,,
94,"Амлосартан®
(Amlosartan)",valsartan; amlodipine,"Таблетки, покрытые пленочной оболочкой 5 мг/80 мг, 5 мг/160 мг, 10 мг/160 мг N30 (3x10) (блистеры)",Украина,"Фармак, АО","Сердечно-сосудистая система. Средства, действующие на ренин-ангиотензиновую систему. Антагонисты рецепторов ангиотензина II в комбинации с блокаторами кальциевых каналов",С09DB01,DV/X 07285/12/19,16.06.25,,по рецепту,,
95,"АМОКСИЛ®
(Amoksil)",amoxicillin,"Таблетки 250 мг, 500 мг N20 (2х10) (блистеры)",Украина,"Киевмедпрепарат, ПАО",Антибиотик (гр.пенициллинов),J01CA04,DV/X 01741/05/16,20.05.16 12.02.21,,по рецепту,,
96,"Амоксициллин
(Аmoksitsillin)",amoxicillin,"Таблетки 250 мг, 500 мг N10 (1x10), N20 (2x10) (упаковки контурные ячейковые)",Россия,"Биохимик, АО",Противомикробные препараты для системного использования. Антибактериальные препараты для системного использования. Бета-лактамные антибиотики – пенициллины. Пенициллины широкого спектра действия. Амоксициллин,J0ICA04,DV/X 04515/06/18,02.11.18 01.07.25,,по рецепту,,
97,"АМПИЦИЛЛИН
(Ampicillin)",ampicilin,"Порошок для приготовления раствора для внутривенного и внутримышечного введения 1 г N1, N50 (флаконы)",Россия,"Синтез, ПАО",Антибиотик (гр.пенициллинов),J01CA01,DV/X 02428/11/16,18.11.16 05.11.21,введены изменения: 30.09.24,по рецепту,,
98,"АМПИЦИЛЛИН
(Ampicillin)",ampicillin,Порошок для приготовления раствора для внутримышечного введения 500 мг N50 (флаконы),Россия,"Синтез, ПАО",Антибиотик (гр.пенициллинов),J01CA01,DV/X 02796/03/17,24.03.17 23.12.21,введены изменения: 27.08.24,по рецепту,,
99,"АМПИЦИЛЛИН
(Ampicillinum)",ampicillin,Порошок для приготовления раствора для внутривенного и внутримышечного введения 500 мг N50 (флаконы),Россия,"Красфарма, ПАО",Антибиотик (гр.пенициллинов),J01CA01,DV/X 03846/12/17,05.12.17 28.07.23,,по рецепту,,
100,"АМПИЦИЛЛИН
(AMPITSILLIN)",ampicillin,"Порошок для приготовления раствора для внутримышечного введения 500 мг, 1,0 г №1 (флакон), №50 (флаконы)",Россия,"Промомед Рус, ООО, Россия произведено: Биохимик, АО","Антибактериальные препараты для системного использования. Бета-лактамные антибактериальные препараты, пенициллины. Пенициллины широкого спектра действия. Ампициллин.",J01CA01,DV/X 03811/12/17,05.12.17 30.09.25,,по рецепту,,
101,"АМПИЦИЛЛИНА ТРИГИДРАТ
(Ampicillini trihydras)",ampicillin,"Таблетки 250 мг N10 (1х10), N20 (2х10), N2400 (240х10) (упаковки контурные ячейковые)",Беларусь,"Белмедпрепараты, РУП",Антибактериальное средство для системного применения. Бета-лактамный антибиотик-пенициллин. Пенициллин широкого спектра действия,J01CA01,DV/X 03970/01/18,15.01.18 28.06.24,,по рецепту,,
102,"АМРА ФОРТЕ
(Amra Forte)",comb.drug (perindopril; indapamide),"Таблетки 4 мг/ 1,25 мг N30 (3x10) (блистеры)",Грузия,GM Pharmaceuticals Ltd,"Препарат для лечения заболеваний сердечно-сосудистой системы. Препарат, влияющий на систему ренин-ангиотензин. АПФ ингибитор в комбинации с другим препаратом. АПФ ингибитор в комбинации с диуретиком. Периндоприл в комбинации с диуретиком",C09BA04,DV/X 06576/07/19,23.07.19 31.01.25,,по рецепту,,
103,"АМРА® БИ ФОРТЕ
(Amra Bi Forte)",comb.drug (perindopril; Indapamid),"Таблетки, покрытые пленочной оболочкой 8 мг/2,5 мг N30 (3х10) (контурные ячейковые упаковки)",Грузия,"GM Pharmaceuticals Ltd, OOO",Антигипертензивное средство,C09BA04,DV/X 09027/06/21,15/06/21,,по рецепту,,
104,"АМРАДИПИН
(Amradipin)",comb.drug (amlodipine; perindopril),"Таблетки 4 мг/5 мг, 4 мг/10 мг, 8 мг/5 мг, 8 мг/10 мг N30 (3x10) (упаковки контурные ячейковые)",Грузия,GM Pharmaceuticals Ltd,"Сердечно сосудистое система. Средство, действующее на ренин-ангиотензиновую систему. Ингибитор АПФ в комбинации с блокаторами кальциевых каналов",C09BB04,DV/X 05681/02/19,01.02.19 19.05.25,,по рецепту,,
105,"АНАЛЬГИН
(Analgin)",metamizole sodium,"Таблетки 500 мг N10, N30 (3х10), N50 (5х10), N70 (7х10), N100 (10х10) (упаковки контурные безъячейковые), N10, N10 (1х10), N20 (2х10), N30 (3х10) (упаковки контурные ячейковые)",Беларусь,"Борисовский завод медицинских препаратов, ОАО",Средство для коррекции метаболических процессов,С01ЕВ,DV/X 02159/09/16,23.09.16 10.09.21,введены изменения: 03.03.23,без рецепта,,
106,"АНАЛЬГИН
(Analgin)",metamizole sodium,Таблетки 500 мг N10 (упаковки контурные безъячейковые),Россия,"Ирбитский ХФЗ, ОАО",Анальгетик-антипиретик,N02BB02,DV/X 02126/09/16,09.09.16 11.10.21,,без рецепта,,
107,"АНАЛЬГИН
(Analgin)",metamizole sodium,Таблетки 500 мг N10 (1х10) (упаковки контурные ячейковые),Россия,"Усолье-Сибирский химфармзавод, АО",Анальгетик-антипиретик,N02BB02,DV/X 09969/06/22,29/06/22,,без рецепта,,
108,"АНАЛЬДИМ
(Analdim)",comb.drug (metamizole sodium; diphenhydramine),"Суппозитории ректальные 100 мг/10 мг, 250 мг/20 мг N10 (2х5) (стрипы)",Украина,"Укрфармэкспорт, ООО произведено: Монфарм, ПАО",Анальгетик-антипиретик,N02BB52,DV/X 03550/09/17,22.09.17 21.12.22,,по рецепту,,
