№ п/п,Торговое название и синоним,Международное название,Лекарственная форма выпуска,Страна-производитель,Фирма производитель,Фармакотерапевтическая группа,Код АТХ,№ Регистрационного удостоверения,Дата регистрации и перерегис-трации,Дата изменения к регистрационному удостоверению,Условия отпуска,,,
208,"АККОФИЛ
(Accofil®)",filgrastim,"Раствор для инъекций или инфузий в предварительно заполненном шприце 30 МЕ/0,5 мл; 48 МЕ/0,5 мл N5 (1x5) (контурно ячейковые упаковки)",Великобритания,"Accord Healthcare Limited, Великобритания, произведено: Accord Healthcare Limited, Великобритания.
Выпуск серии: Accord Healthcare Limited, Великобритания; Accord Healthcare Polska SP ZOO Польша.","Средство, стимулирующее лейкопоэз",L03AA02,DV/X/TO 10734/08/24,07/08/24,,по рецепту,,,
43,"Lamotrigine Accord
(Lamotrigine Accord)",lamotrigine,Таблетки 100 мг № 56 (4x14) (блистеры),Великобритания,Accord Healthcare LTD,Нервная система. Противоэпилептическое средство,N03AX09,DV/X/TO 11156/11/25,28.11.25,,по рецепту,,,
1512,"КАСТИРОН
(Kastiron)",iron (III) hydroxide sucrose complex*,Раствор для инъекций 20 мг/мл 5 мл N5 (ампулы),Индия,Acies Pharmaceutical Pvt Ltd,Антианемическое средство,B03AC02,DV/X 10498/06/23,22/06/23,,по рецепту,,,
2147,"МИКАЦИТ
(Mikatsit)",amikacin sulfate,"Раствор для инъекций 100 мг/2 мл, 500 мг/2 мл N1 (флаконы)",Индия,Acies Pharmaceutical Pvt Ltd,Антибиотик (гр.аминогликозидов),J01GB06,DV/X 10499/06/23,22/06/23,,по рецепту,,,
2644,"ПЕНТОБАКТ
(Pentobakt)",comb.drug (ampicillin; sulbactam),Порошок для приготовления раствора для инъекций 1000 мг + 500 мг N1 (флаконы),Индия,Acies Pharmaceutical Pvt Ltd,"Антибиотик, пенициллин полусинтетический+бета-лактамаз ингибитор",J01CR01,DV/X 10435/06/23,08/06/23,,по рецепту,,,
1783,"ЛЕВОКАРНИТИН
(Levokarnitin)",levocarnitine,Раствор для инъекций 1000 мг/5 мл 5 мл N5 (ампулы),Индия,Acies Pharmaceutical Pvt. Ltd,Средство для коррекции метаболических процессов,A16AA01,DV/X 10702/07/24,19/07/24,,по рецепту,,,
2366,"НИРЦИП
(Nirsip)",ciprofloxacin,"Раствор для инфузий 200 мг/100 мл, 100 мл (флаконы)",Индия,Aculife Healthcare Pvt Ltd,Антибактериальное синтетическое средство (гр.фторхинолонов),J01MA02,DV/X 08849/04/21,09/04/21,,по рецепту,,,
252,"АКУМИН ГЕПА
(Akumin Gepa)","comb.drug (L-золейцин; L-Лейцин; L-Лизина моноацетат (соответствует L- лизину); L-Метионин; L-Фенилаланин; L-Треонин; L-Триптофан; L-Валин; L-Аргинин, L-Гистидин, Глицин, L-Аланин, L-Пролин, L-Серин, Ацетилцистеин (соответствует L- Цистеину))*","Раствор для инфузий 250 мл, 500 мл N1 (флаконы)",Индия,Aculife Healthcare Pvt. Ltd,Средство для парентерального питания,В05ВА01,DV/X 01009/11/15,06.11.15 19.03.21,,по рецепту,,,
2360,"НИРЗОЛИД®
(Nirzolid)",linezolid,"Раствор для внутривенной инфузии 0,2% 100 мл, 300 мл (флаконы)",Индия,Aculife Healthcare Pvt. Ltd,Антибактериальное синтетическое средство (гр.оксазолидинона),J01XX08,DV/X 01063/11/15,27.11.15 19.03.21,,по рецепту,,,
2361,"НИРЛИВ®
(Nirliv+D796D796:H809)",levofloxacin,Раствор для внутривенных инфузий 500 мг/100 мл 100 мл (флаконы),Индия,Aculife Healthcare Pvt. Ltd,Антибактериальное синтетическое средство (гр.фторхинолонов),J01MA12,DV/X 02755/03/17,06.03.17 13.04.22,,по рецепту,,,
2362,"НИРМИН 10 ПЛЮС®
(Nirmin 10 Plyus)",comb.drug (aminoacids; sorbitol),"Раствор для инфузий 10% 100 мл, 200 мл, 500 мл (флаконы)",Индия,Aculife Healthcare Pvt. Ltd,Средство для парентерального питания,В05ВА01,DV/X 02403/11/16,04.11.16 11.10.21,,по рецепту,,,
2363,"НИРМИН 5-С™
(Nirmin 5-S)",comb.drug (aminoacids; sorbitol),"Раствор для инфузий 5% 100 мл, 200 мл, 500 мл (флаконы)",Индия,Aculife Healthcare Pvt. Ltd,Средство для парентерального питания,В05ВА01,DV/X 02404/11/16,04.11.16 11.10.21,,по рецепту,,,
2364,"НИРФОЛ®
(Nirfol)",propofol,"Эмульсия для инъекций 1% 10 мл, 20 мл, 50 мл (флаконы)",Индия,Aculife Healthcare Pvt. Ltd,Средство для неингаляционного наркоза,N01AX10,DV/X 02127/09/16,09.09.16 11.10.21,,по рецепту,,,
2365,"НИРХЕС 200™
(Nirxes 200)",solution hydroxyethyl starch*,"Раствор для внутривенных инфузий 6% 250 мл, 500 мл (флаконы)",Индия,Aculife Healthcare Pvt. Ltd,Плазмозаменитель,В05АА07,DV/X 02128/09/16,09.09.16 11.10.21,,по рецепту,,,
392,"АНАПРАН ЕС
(Anapran Es)",naproxen,"Таблетки, покрытые кишечнорастворимой оболочкой 250 мг, 500 мг N10 (1х10) (блистеры)",Польша,Adamed Pharma S.A,Нестероидное противовоспалительное средство,M01A E02,DV/X 03981/02/18,01.02.18 16.09.24,,по рецепту,,,
441,"АРЕПЛЕКС
(Areplex)",clopidogrel,"Таблетки, покрытые пленочной оболочкой 75 мг N28 (2х14) (блистеры)",Польша,Adamed Pharma S.A,Антиагрегантное средство,B01AC04,DV/X 08572/02/21,02/02/21,,по рецепту,,,
449,"АРТАМАКСАН
(Artamaksan)",losartan,"Таблетки, покрытые пленочной оболочкой 50 мг N30 (1х30) (упаковки контурные ячейковые)",Польша,Adamed Pharma S.A,Антигипертензивное средство (антагонист рецепторов ангиотензина II),C09CA01,DV/X 03980/02/18,01.02.18 20.09.22,,по рецепту,,,
590,"БИСЕПТОЛ
(Biseptol®)","comb.drug (sulfamethoxazole, trimethoprim)",Таблетки 800 мг+160 мг N10 (1х10) (блистеры),Польша,Adamed Pharma S.A,Антибактериальное синтетическое средство (сульфаниламид),J01EE01,DV/X 08790/04/21,09/04/21,введены изменения: 05.04.25,по рецепту,,,
1273,"ЗОЛАФРЕН-СВИФТ
(Zolafren-svift)",olanzapine,"Таблетки диспергируемые 5 мг N28 (2х14); 10 мг, 15 мг, 20 мг, N28 (4х7) (блистеры)",Польша,Adamed Pharma S.A,Нейролептик,N05AH03,DV/X 02279/10/16,21.10.16 30.11.21,введены изменения: 19.04.25,по рецепту,,,
1440,"КАМЛАД
(Kamlad)","comb.drug (candesartan cilexetil, amlodipine)",Капсулы 8 мг+5 мг; 8 мг+10 мг N30 (3х10) (упаковки контурные ячейковые),Польша,Adamed Pharma S.A,Антигипертензивное средство,C09DB07,DV/X 03979/02/18,01.02.18 14.10.22,,по рецепту,,,
1441,"КАМЛАД
(Kamlad)","comb.drug (candesartan cilexetil, amlodipine)","Капсулы 16 мг + 5 мг, 16 мг + 10 мг, N30 (3х10) (упаковки контурные ячейковые)",Польша,Adamed Pharma S.A,"Антигипертензивное средство (средство, действующее на ренин-ангиотензиновую систему, антагонист ангиотензина II в комбинации с блокаторами кальциевых каналов)",C09DB07,DV/X 10591/01/24,30/01/24,,по рецепту,,,
2094,"МЕНСЕР
(Menser)",mianserini hydrochloride,"Таблетки, покрытые пленочной оболочкой 30 мг N30 (3x10) (блистеры)",Польша,Adamed Pharma S.A,Антидепрессант,N06AX03,DV/X 03907/01/18,15.01.18 14.10.22,,по рецепту,,,
2301,"НЕЙРОФИТ
(Neyrofit)",pregabalin,"Капсулы 75 мг, 150 мг, 300 мг N56 (4x14) (упаковки контурные ячейковые)",Польша,Adamed Pharma S.A,Нервная система. Противоэпилептическое средство. Другое противоэпилептическое средство.Прегабалин,N02BF02,DV/X 03978/02/18,01.02.18 19.04.25,,по рецепту,,,
2302,"НЕЙРОФИТ
(Neyrofit)",pregabalin,"Капсулы 75 мг, 150 мг, 300 мг N56 (4x14) (упаковки контурные ячейковые)",Польша,Adamed Pharma S.A,Нервная система. Противоэпилептическое средство. Другое противоэпилептическое средство.Прегабалин,N02BF02,DV/X 03978/02/18,01.02.18 19.04.25,,по рецепту,,,
2325,"НЕРВОМИКС ФОРТЕ
(Nervomiks Forte)","comb.drug (Валерианы корня, Хмеля шишек, Мелиссы листьев, Зверобоя травы)",Капсулы N20 (2х10) (блистеры),Польша,Adamed Pharma S.A,Седативное средство,N05CM,DV/X 01398/02/16,19.02.16 15.06.21,,без рецепта,,,
2678,"ПЛЕРАН
(Pleran)",eplerenone,"Таблетки, покрытые пленочной оболочкой 25 мг, 50 мг N30 (3х10) (упаковки контурные ячейковые)",Польша,Adamed Pharma S.A,Диуретическое средство,C03DA04,DV/X 03862/12/17,19.12.17 14.10.22,,по рецепту,,,
2692,"ПОЛЬКОРТОЛОН
(Polkortolon)",triamcinolone,Таблетки 4 мг N50 (2х25) (блистеры),Польша,Adamed Pharma S.A,Глюкокортикостероид,H02AB08,DV/X 08487/11/20,19/11/20,,по рецепту,,,
2712,"ПРЕСТОЗЕК КОМБИ
(Prestozek kombi)",comb.drug (perindopril tert-butylamine; amlodipine besilata),Таблетки 8 мг + 5 мг; 8 мг + 10 мг N30 (3х10) (контурная ячейковая упаковка),Польша,Adamed Pharma S.A,Антигипертензивное средство,C09BB04,DV/X 10547/08/23,11/08/23,,по рецепту,,,
