№ п.п,Торговое название и синоним,Международное название,Лекарственная форма выпуска,Страна-производитель,Фирма производитель,Фармакотерапевтическая группа,Код АТХ,№ Регистрационного удостоверения,Дата регистрации и перерегис-трации,Дата изменения к регистрационному удостоверению,Условия отпуска
76,"АДЕЗУМА
(Adezuma)",ademethionine,"Порошок лиофилизированный для приготовления раствора для иньекций 400 мг N5 (флаконы), в комплекте с растворителем - L лизина 5 мл N5 (ампулы)",Узбекистан,"Uzgermed Pharm, СП ООО",Гепатопротектор,A16AA02,DV/M 04160/06/22,29/06/22,,по рецепту
77,"АДЕЛЬФАН SD
(Adelfan SD)",comb.drug (reserpine; hydrochlorothiazide; dihydralazine),"Таблетки N10 (1х10), N20 (2х10), N30 (3х10), N50 (5х10), N100 (10х10) (упаковки контурные ячейковые)",Узбекистан,"Sharq Darmon, OOO","Кровь и кроветворный орган. Кровезаменитель и перфузионный раствор. Раствор, влияющий на электролитный баланс. Меглюмина натрия сукцинат",В05ВВ,DV/M 02538/05/19,06.05.19 01.03.25,,по рецепту
78,"АДЕФАТ
(Adefat)",levocarnitine,"Раствор для инъекций 1000 мг/5 мл 5 мл N5 (1x5), N10 (2x5) (ампулы)",Узбекистан,"Aseptica, OOO для Izida Pharma Ltd., Великобритания",Средство для коррекции метаболических процессов,A16AA01,DV/M 04535/07/23,28/07/23,,по рецепту
79,"АДИКСИН
(Adiksin)",comb.drug (sodium chloride; potassium chloride; calcium chloride; magnesium chloride; butanedioic acid; sodium hydrogen carbonate),"Раствор для инфузий 200 мл, 250 мл (бутылки, флаконы)",Узбекистан,"Reka Med Farm, CП ООО",Солевой раствор,B05B,DV/M 01708/08/17,04.08.17 14.10.22,,по рецепту
80,"АДКСЕЙТ
(Adkseyt)",methotrexate,"Таблетки 2,5 мг N60 (флаконы)",Узбекистан,"Beta Ubk International Private Limited, СП ООО",Противоопухолевое средство,L01BA01,DV/M 03876/08/21,18/08/21,,по рецепту
81,"АДЛИНОД
(Adlinod)",lenalidomide,Капсулы 25 мг N30 (флаконы),Узбекистан,"Beta Ubk International Private Limited, СП ООО",Противоопухолевое средство,L04AХ04,DV/M 03871/08/21,18/08/21,,по рецепту
82,"АДМАЙН
(Admayn)",imatinib,"Таблетки, покрытые пленочной оболочкой 100 мг, 400 мг N30 (флаконы)",Узбекистан,"Beta Ubk International Private Limited, СП ООО",Противоопухолевое средство,L01XЕ03,DV/M 03875/08/21,18/08/21,,по рецепту
83,"АДРЕА
(Adrea)",hydroxyurea,Капсулы 500 мг N6 (1х6) (блистеры),Узбекистан,"Beta Ubk International Private Limited, СП ООО",Противоопухолевое средство,L01ХХ05,DV/M 03873/08/21,18/08/21,,по рецепту
84,"АДРЕНАЛИН
(Adrenalin)",epinephrine,"Раствор для иньекций 1,8 мг/мл 1 мл N5; N10; N5 (1х5); N10 (2x5); N10 (1х10) (ампулы)",Узбекистан,"Bayan medical, ООО",Антигипотензивное средство,C01CA24,DV/M 04010/12/21,23/12/21,,по рецепту
85,"АДЭТТА
(ADETTA)",aescin*; lysine,"Раствор для инфузий 50 мл, 100 мл (бутылки стеклянные, флаконы стеклянные)",Узбекистан,"Temur Med Farm, OOO",Ангиопротекторное средство,С05СХ,DV/M 04486/06/23,22/06/23,введены изменения: 28.11.25,по рецепту
86,"АЕВИТ-LIK
(Aevit-LIK)",comb.drug (retinoli palmitatis; α-tocopheroly acetas)*,"Капсулы N10, N10 (1х10), N20 (2х10), N30 (3х10), N40 (4х10), N50 (5х10) (упаковки контурные ячейковые)",Узбекистан,"Lekinterkaps, ООО",Витамины,A11A,DV/M 01828/09/17,22.09.17 02.08.22,,по рецепту
87,"АЗАЛЕПТОЛ-MR
(Azaleptol-MR)",clozapine,"Таблетки 100 мг N10 (1х10), N20 (2х10), N30 (3х10), N50 (5х10) (упаковки контурные ячейковые)",Узбекистан,"Merrymed Farm, ООО",Нейролептическое средство,N05AH02,DV/M 04557/08/23,11/08/23,,по рецепту
88,"АЗАЛИП
(Azalip)",cocarboxylase; riboflavin; alpha lipoic acid*,Суппозитории ректальные №5 (1x5) (упаковки контурные ячейковые),Узбекистан,"Pharmacon LLC, OOO",Пищеварительный тракт и обмен веществ. Витамины. Другие витаминные препараты в комбинации с другими средствами,A11JC,DV/M 05077/08/25,13.08.25,,по рецепту
89,"АЗАЦИН
(Azatsin)",azithromycin,"Капсулы 250 мг N6 (1х6), N3 (1х3), (упаковки контурные ячейковые)",Узбекистан,"ATM Pharm, OOO",Антибиотик (гр.макролидов),J01FA10,DV/M 01364/03/17,06.03.17 25.05.22,,по рецепту
90,"АЗЕФ
(Azef)",azithromycin,"Капсулы 250 мг, 500 мг; 250 мг N6 (1х6); 500 мг N3 (1х3) (упаковки контурные ячейковые)",Узбекистан,"Remedy Group, СП ООО для Zefer Pharma Ltd, Великобритания",Антибиотик (гр.макролидов),J01FA10,DV/M 04472/06/23,08/06/23,,по рецепту
91,"АЗЕФ
(Azef)",azithromycin,"Суспензия 200 мг/5 мл, 15 мл (флаконы в комплекте с мерной ложкой или стаканчиком или без них)",Узбекистан,"Remedy Group, СП ООО для Zefer Pharma Ltd, Великобритания",Антибиотик (гр.макролидов),J01FA10,DV/M 01022/09/16,23.09.16 11.10.21,введены изменения: 28.10.22,по рецепту
92,"АЗИКАМ
(Azikam)",azithromycin,"Капсулы 250 мг, 500 мг, 250 мг N6 (2х3); 500 мг N3 (1х3) (упаковки контурные ячейковые)",Узбекистан,"As-Kam Pharma, OOO",Антибиотик (гр.макролидов),J01FA10,DV/M 04314/11/22,30/11/22,,по рецепту
93,"Ази-МАЛ 250
(Azi-MAL 250)",azithromycin,Капсулы 250 мг №6 (2x3) (блистеры),Узбекистан,"Malika Laboratories, ООО","Антибактериальные препараты системного действия. Макролиды, линкозамиды и стрептограмины. Макролиды. Азитромицин",J01FA10,DV/M 05096/08/25,13.08.25,,по рецепту
94,"Ази-МАЛ 500
(Azi-MAL 500)",azithromycin,Капсулы 500 мг №3 (1x3) (блистеры),Узбекистан,"Malika Laboratories, ООО","Антибактериальные препараты системного действия. Макролиды, линкозамиды и стрептограмины. Макролиды. Азитромицин",J01FA10,DV/M 05097/08/25,13.08.25,,по рецепту
95,"АЗИМИЦИН®
(Azimitsin®)",azithromycin,"Kапсулы 250 мг №6 (1х6), 500 мг №3 (1х3) (упаковки контурные ячейковые)",Узбекистан,"Nika Pharm, ООО","Противомикробные препараты системного действия. Антибактериальные препараты системного действия. Макролиды. Макролиды, линкозамиды и стрептограмины.Макролиды. Азитромицин",J01FA10,DV/M 04981/07/25,01/07/25,,по рецепту
96,"АЗИРЕМ®НЕО
(Azirem®NEO)",azithromycin,"Капсулы 250 мг N6 (1х6), 500 мг N3 (1х3) (упаковки контурные ячейковые)",Узбекистан,"Remedy Group, СП ООО","Противомикробный препарат системного действия. Антибактериальный препарат системного действия. Макролид, линкозамид и стрептограмин. Макролид, Азитромицин",J01FA10,DV/M 04914/04/25,19/04/25,,без рецепта
97,"АЗИТ
(Azit)",azithromycin,Капсулы 250 мг N6 (1x6) (упаковки контурные ячейковые),Узбекистан,"Well Med Pharm, ИП ООО","Антибактериальный препарат системного действия. Макролид, линкозамид и стрептограмин. Азитромицин",J01FA10,DV/M 02576/06/19,14.06.19 15.02.25,,по рецепту
98,"АЗИТРО-МАКС КИДС
(Azitro-maks Kids)",azithromycin,"Суспензия 200 мг/5 мл, 50 мл (флаконы)",Узбекистан,"Nova Pharm, СП ООО",Антибиотик (гр.макролидов),J01FA10,DV/M 04194/07/22,19/07/22,,по рецепту
99,"АЗИТРОМИЦИН NP
(Azitromitsin NP)",azithromycin,"Таблетки, покрытые пленочной оболочкой 250 мг N6 (1x6), 500 мг N3 (1x3) (упаковки контурные ячейковые)",Узбекистан,"Nova Pharm, СП ООО","Антибактериальный препарат системного действия. Макролид, линкозамид и стрептограмин. Макролид. Азитромицин",J01FA10,DV/M 02872/11/19,22.11.19 22.02.25,,по рецепту
100,"АЗИТРОМИЦИН SD
(Аzitromitsin SD)",azithromycin dihydrate,"Таблетки, покрытые оболочкой 250 мг N6 (1х6), 500 мг N3 (1х3) (контурныe ячейковые упаковки)",Узбекистан,"Sharq Darmon, OOO",Антибиотик (гр.макролидов),J01FA10,DV/M 00981/08/16,19.08.16 15.06.21,,по рецепту
